,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
61,Buchs (ZH),47.4588,8.4366,Migros VOI,47.456188,8.439803,Grocery Store
62,Bassersdorf,47.4434,8.6285,Löwen Bassersdorf,47.44361312423372,8.62854193685755,Swiss Restaurant
63,Bassersdorf,47.4434,8.6285,Barone,47.444737213329475,8.624536444336073,Italian Restaurant
64,Bassersdorf,47.4434,8.6285,Migros Bassersdorf,47.44083392657827,8.630423846223648,Shopping Mall
65,Bassersdorf,47.4434,8.6285,Coop,47.44410591526929,8.626560563114722,Supermarket
66,Bassersdorf,47.4434,8.6285,Blind Horse Gallery,47.443121457682764,8.626710117059464,Art Gallery
67,Bassersdorf,47.4434,8.6285,Hotel-Restaurant Mare & Monti,47.44432463187523,8.624834288948897,Pizza Place
68,Bassersdorf,47.4434,8.6285,Zürich,47.441867,8.62491,Lake
69,Benken (ZH),47.6528,8.6539,Sonne,47.65410000921294,8.651862144470215,Restaurant
70,Weiach,47.5591,8.4334,Landi Weiach,47.56215,8.428977,Shopping Mall
71,Bachenbülach,47.5032,8.5456,Trattoria Pizzeria Rose da Mario,47.50389607015984,8.546382449073803,Trattoria/Osteria
72,Bachenbülach,47.5032,8.5456,Jumbo,47.50486485092878,8.540817202054761,Hardware Store
73,Bachenbülach,47.5032,8.5456,Coop,47.506260102504065,8.541370000733373,Supermarket
74,Bachenbülach,47.5032,8.5456,Parkallee,47.50445174706662,8.542350685743031,Shopping Mall
75,Bachenbülach,47.5032,8.5456,Basefit.ch,47.50449950230484,8.542846836454824,Gym
76,Bachenbülach,47.5032,8.5456,ALDI Suisse,47.505616,8.540376,Supermarket
77,Bülach,47.522,8.5405,Fleischli Café Bäckerei Konditorei,47.521231394280655,8.539913574012392,Bakery
78,Bülach,47.522,8.5405,Kino ABC,47.52057433715002,8.541027728170848,Indie Movie Theater
79,Bülach,47.522,8.5405,Activ Fitness,47.521335510883986,8.54125252040253,Gym / Fitness Center
80,Bülach,47.522,8.5405,Klaus Confiserie Café,47.518182,8.541194,Bakery
81,Bülach,47.522,8.5405,Guss39,47.52475802067638,8.537262716309606,Lounge
82,Bülach,47.522,8.5405,La Vita,47.52033060624528,8.540133384037052,Italian Restaurant
83,Bülach,47.522,8.5405,Migros,47.5212164799289,8.5401158960088,Shopping Mall
84,Bülach,47.522,8.5405,Bahnhof Bülach,47.52345293014192,8.536835897952422,Train Station
85,Bülach,47.522,8.5405,Swisscom Shop,47.522694,8.538488,Mobile Phone Shop
86,Bülach,47.522,8.5405,City Kebap House,47.52215409594834,8.538999344746372,Kebab Restaurant
87,Bülach,47.522,8.5405,avec.,47.52343773924185,8.53702261356161,Grocery Store
88,Bülach,47.522,8.5405,Büli's Welcome,47.5188817247134,8.539531230926514,Asian Restaurant
89,Bülach,47.522,8.5405,Zum Goldenen Kopf,47.51856314561049,8.540838706833604,Hotel
90,Zollikon,47.3451,8.6009,Comestibles WEBER,47.34553789084591,8.604291001277137,Gourmet Shop
91,Zollikon,47.3451,8.6009,Coop,47.34701,8.59664,Supermarket
92,Zollikon,47.3451,8.6009,Restaurant Rosengarten,47.346011587405556,8.603713918951073,Italian Restaurant
93,Zollikon,47.3451,8.6009,Kägi's Bäckerei,47.34645,8.600464,Bakery
94,Zollikon,47.3451,8.6009,ZVV Zollikerberg,47.345806918168535,8.603841662948211,Light Rail Station
95,Zollikon,47.3451,8.6009,ZVV Spital Zollikerberg,47.34735726706348,8.597023885208298,Light Rail Station
96,Zollikon,47.3451,8.6009,Restaurant Laterne,47.34628953423608,8.595192142485192,Thai Restaurant
97,Wasterkingen,47.5896,8.4712,Bus 546 (Rundkurs),47.590273,8.47353,Moving Target
98,Wasterkingen,47.5896,8.4712,Wasterkingen Weltdorf,47.59076761949314,8.473548889160156,Resort
99,Bubikon,47.2562,8.7991,Volg,47.25639071517262,8.801328787363653,Grocery Store
100,Bubikon,47.2562,8.7991,Bäckerei Steiner,47.25698678826483,8.801238283768544,Bakery
101,Bubikon,47.2562,8.7991,Sale e Pepe,47.256778,8.800117,Pizza Place
102,Bubikon,47.2562,8.7991,zampetta gmbh,47.25467,8.797349,Pet Store
